"ID";"EnergySourcesAndTechniques";"EnergyApplication";"Periods";"FinalConsumption_1";"FinalConsumptionRelative_2"
"361";"E007209 ";"E006608 ";"2011JJ00";;
"362";"E007209 ";"E006608 ";"2012JJ00";;
"363";"E007209 ";"E006608 ";"2013JJ00";;
"364";"E007209 ";"E006608 ";"2014JJ00";;
"365";"E007209 ";"E006608 ";"2015JJ00";;
"366";"E007209 ";"E006608 ";"2016JJ00";;
"367";"E007209 ";"E006608 ";"2017JJ00";;
"368";"E007209 ";"E006608 ";"2018JJ00";;
"369";"E007209 ";"E006608 ";"2019JJ00";;
"370";"E007209 ";"E006608 ";"2020JJ00";;
"371";"E007209 ";"E006608 ";"2021JJ00";;
"372";"E007209 ";"E006608 ";"2022JJ00";;
"373";"E007209 ";"E006608 ";"2023JJ00";;
"374";"E007209 ";"E007028 ";"1990JJ00";;
"375";"E007209 ";"E007028 ";"1991JJ00";;
"376";"E007209 ";"E007028 ";"1992JJ00";;
"377";"E007209 ";"E007028 ";"1993JJ00";;
"378";"E007209 ";"E007028 ";"1994JJ00";;
"379";"E007209 ";"E007028 ";"1995JJ00";;
"380";"E007209 ";"E007028 ";"1996JJ00";;
"381";"E007209 ";"E007028 ";"1997JJ00";;
"382";"E007209 ";"E007028 ";"1998JJ00";;
"383";"E007209 ";"E007028 ";"1999JJ00";;
"384";"E007209 ";"E007028 ";"2000JJ00";;
"385";"E007209 ";"E007028 ";"2001JJ00";;
"386";"E007209 ";"E007028 ";"2002JJ00";;
"387";"E007209 ";"E007028 ";"2003JJ00";;
"388";"E007209 ";"E007028 ";"2004JJ00";;
"389";"E007209 ";"E007028 ";"2005JJ00";;
"390";"E007209 ";"E007028 ";"2006JJ00";;
"391";"E007209 ";"E007028 ";"2007JJ00";;
"392";"E007209 ";"E007028 ";"2008JJ00";;
"393";"E007209 ";"E007028 ";"2009JJ00";;
"394";"E007209 ";"E007028 ";"2010JJ00";;
"395";"E007209 ";"E007028 ";"2011JJ00";;
"396";"E007209 ";"E007028 ";"2012JJ00";;
"397";"E007209 ";"E007028 ";"2013JJ00";;
"398";"E007209 ";"E007028 ";"2014JJ00";;
"399";"E007209 ";"E007028 ";"2015JJ00";;
"400";"E007209 ";"E007028 ";"2016JJ00";;
"401";"E007209 ";"E007028 ";"2017JJ00";;
"402";"E007209 ";"E007028 ";"2018JJ00";;
"403";"E007209 ";"E007028 ";"2019JJ00";;
"404";"E007209 ";"E007028 ";"2020JJ00";;
"405";"E007209 ";"E007028 ";"2021JJ00";;
"406";"E007209 ";"E007028 ";"2022JJ00";;
"407";"E007209 ";"E007028 ";"2023JJ00";;
"408";"T001027 ";"E007022 ";"1990JJ00";"1818792";
"409";"T001027 ";"E007022 ";"1991JJ00";"1947665";
"410";"T001027 ";"E007022 ";"1992JJ00";"1918884";
"411";"T001027 ";"E007022 ";"1993JJ00";"1989966";
"412";"T001027 ";"E007022 ";"1994JJ00";"1963753";
"413";"T001027 ";"E007022 ";"1995JJ00";"2034780";
"414";"T001027 ";"E007022 ";"1996JJ00";"2206321";
"415";"T001027 ";"E007022 ";"1997JJ00";"2115236";
"416";"T001027 ";"E007022 ";"1998JJ00";"2119199";
"417";"T001027 ";"E007022 ";"1999JJ00";"2078323";
"418";"T001027 ";"E007022 ";"2000JJ00";"2139719";
"419";"T001027 ";"E007022 ";"2001JJ00";"2177170";
"420";"T001027 ";"E007022 ";"2002JJ00";"2164264";
"421";"T001027 ";"E007022 ";"2003JJ00";"2203715";
"422";"T001027 ";"E007022 ";"2004JJ00";"2328387";
"423";"T001027 ";"E007022 ";"2005JJ00";"2300710";
"424";"T001027 ";"E007022 ";"2006JJ00";"2284781";
"425";"T001027 ";"E007022 ";"2007JJ00";"2247857";
"426";"T001027 ";"E007022 ";"2008JJ00";"2282493";
"427";"T001027 ";"E007022 ";"2009JJ00";"2195534";
"428";"T001027 ";"E007022 ";"2010JJ00";"2359420";
"429";"T001027 ";"E007022 ";"2011JJ00";"2192915";
"430";"T001027 ";"E007022 ";"2012JJ00";"2203277";
"431";"T001027 ";"E007022 ";"2013JJ00";"2205198";
"432";"T001027 ";"E007022 ";"2014JJ00";"2009118";
"433";"T001027 ";"E007022 ";"2015JJ00";"2046519";
"434";"T001027 ";"E007022 ";"2016JJ00";"2091289";
"435";"T001027 ";"E007022 ";"2017JJ00";"2104645";
"436";"T001027 ";"E007022 ";"2018JJ00";"2116089";
"437";"T001027 ";"E007022 ";"2019JJ00";"2077604";
"438";"T001027 ";"E007022 ";"2020JJ00";"1944180";
"439";"T001027 ";"E007022 ";"2021JJ00";"2004341";
"440";"T001027 ";"E007022 ";"2022JJ00";"1850247";
"441";"T001027 ";"E007022 ";"2023JJ00";"1784713";
"442";"T001027 ";"E006607 ";"1990JJ00";;
"443";"T001027 ";"E006607 ";"1991JJ00";;
"444";"T001027 ";"E006607 ";"1992JJ00";;
"445";"T001027 ";"E006607 ";"1993JJ00";;
"446";"T001027 ";"E006607 ";"1994JJ00";;
"447";"T001027 ";"E006607 ";"1995JJ00";;
"448";"T001027 ";"E006607 ";"1996JJ00";;
"449";"T001027 ";"E006607 ";"1997JJ00";;
"450";"T001027 ";"E006607 ";"1998JJ00";;
